sampleID,fastq1,fastq2
17-MCAABD86_4M,/home/trainer07/17-MCAABD86_4M_R1.fastq.gz,/home/trainer07/17-MCAABD86_4M_R2.fastq.gz
82-MCGABL87_4M,/home/trainer07/82-MCGABL87_4M_R1.fastq.gz,/home/trainer07/82-MCGABL87_4M_R2.fastq.gz
